Scheduler,Metric,Mean,Median,Std,Min,Max
FCFS,waitingTime,13475.1,11496.5,10661.3,0,36666
FCFS,responseTime,13475.1,11496.5,10661.3,0,36666
FCFS,turnaroundTime,13533.6,11554.5,10661.5,20,36767
SJF,waitingTime,9411.9,95.0,20626.7,0,123249
SJF,responseTime,9411.9,95.0,20626.7,0,123249
SJF,turnaroundTime,9469.7,147.0,20655.8,20,123449
PRIORITY,waitingTime,9833.1,76.0,26977.9,0,157520
PRIORITY,responseTime,9833.1,76.0,26977.9,0,157520
PRIORITY,turnaroundTime,9891.3,145.0,26978.0,20,157595
MLFQ,waitingTime,12829.2,10764.0,10487.1,0,37233
MLFQ,responseTime,12829.2,10764.0,10487.1,0,37233
MLFQ,turnaroundTime,12887.5,10827.0,10487.3,20,37258
