scheduler, patronID, drinkName, execTime,arrivalTime, serviceStartTime, completionTime,waitingTime, responseTime, turnaroundTime, queueLevel
PRIORITY,0,White Wine,25,1778882408750,1778882408756,1778882408781,6,6,31,0
PRIORITY,0,Cider,25,1778882408932,1778882408932,1778882408957,0,0,25,0
PRIORITY,1,Cider,25,1778882408974,1778882408974,1778882408999,0,0,25,0
PRIORITY,0,B52,200,1778882409058,1778882409058,1778882409258,0,0,200,0
PRIORITY,1,Tequila shot,20,1778882409099,1778882409260,1778882409280,161,161,181,0
PRIORITY,0,White Wine,25,1778882409269,1778882409282,1778882409307,13,13,38,0
PRIORITY,1,Martini,60,1778882409283,1778882409309,1778882409370,26,26,87,0
PRIORITY,2,Bloody Mary,70,1778882409173,1778882409372,1778882409442,199,199,269,0
PRIORITY,0,Red Wine,25,1778882409458,1778882409458,1778882409483,0,0,25,0
PRIORITY,1,Martini,60,1778882409480,1778882409485,1778882409545,5,5,65,0
PRIORITY,2,Beer,25,1778882409592,1778882409592,1778882409617,0,0,25,0
PRIORITY,0,Beer,25,1778882409633,1778882409633,1778882409659,0,0,26,0
PRIORITY,1,Gin and Tonic,40,1778882409656,1778882409661,1778882409701,5,5,45,0
PRIORITY,2,Mojito,75,1778882409718,1778882409718,1778882409793,0,0,75,0
PRIORITY,1,Margarita,75,1778882409811,1778882409811,1778882409886,0,0,75,0
PRIORITY,2,Beer,25,1778882409903,1778882409903,1778882409929,0,0,26,0
PRIORITY,1,Gin and Tonic,40,1778882409967,1778882409967,1778882410007,0,0,40,0
PRIORITY,3,Tequila shot,20,1778882410113,1778882410113,1778882410133,0,0,20,0
PRIORITY,1,Pina Colada,100,1778882410117,1778882410135,1778882410235,18,18,118,0
PRIORITY,3,B52,200,1778882410136,1778882410237,1778882410437,101,101,301,0
PRIORITY,3,White Wine,25,1778882410448,1778882410448,1778882410473,0,0,25,0
PRIORITY,3,Pina Colada,100,1778882410623,1778882410623,1778882410723,0,0,100,0
PRIORITY,4,Margarita,75,1778882410820,1778882410820,1778882410895,0,0,75,0
PRIORITY,3,Cider,25,1778882410844,1778882410897,1778882410922,53,53,78,0
PRIORITY,4,Martini,60,1778882410975,1778882410975,1778882411036,0,0,61,0
PRIORITY,3,Gin and Tonic,40,1778882411023,1778882411038,1778882411078,15,15,55,0
PRIORITY,3,Bloody Mary,70,1778882411188,1778882411188,1778882411259,0,0,71,0
PRIORITY,5,Pina Colada,100,1778882411426,1778882411426,1778882411526,0,0,100,0
PRIORITY,6,Draft Beer,50,1778882411602,1778882411602,1778882411652,0,0,50,0
PRIORITY,5,Gin and Tonic,40,1778882411646,1778882411654,1778882411694,8,8,48,0
PRIORITY,6,Bloody Mary,70,1778882411752,1778882411753,1778882411823,1,1,71,0
PRIORITY,7,Gin and Tonic,40,1778882411778,1778882411824,1778882411865,46,46,87,0
PRIORITY,6,White Wine,25,1778882411973,1778882411973,1778882411998,0,0,25,0
PRIORITY,7,White Wine,25,1778882411975,1778882412000,1778882412025,25,25,50,0
PRIORITY,8,Beer,25,1778882412112,1778882412112,1778882412137,0,0,25,0
PRIORITY,6,Beer,25,1778882412149,1778882412149,1778882412174,0,0,25,0
PRIORITY,7,Mojito,75,1778882412175,1778882412176,1778882412251,1,1,76,0
PRIORITY,8,Pina Colada,100,1778882412237,1778882412252,1778882412352,15,15,115,0
PRIORITY,6,Pina Colada,100,1778882412274,1778882412354,1778882412454,80,80,180,0
PRIORITY,9,Cosmopolitan,65,1778882412628,1778882412628,1778882412693,0,0,65,0
PRIORITY,9,B52,200,1778882412743,1778882412743,1778882412944,0,0,201,0
PRIORITY,9,Bloody Mary,70,1778882412954,1778882412954,1778882413024,0,0,70,0
PRIORITY,0,Beer,25,1778882429026,1778882429030,1778882429056,4,4,30,0
PRIORITY,0,White Wine,25,1778882429157,1778882429157,1778882429182,0,0,25,0
PRIORITY,1,Margarita,75,1778882429254,1778882429254,1778882429329,0,0,75,0
PRIORITY,0,B52,200,1778882429332,1778882429332,1778882429533,0,0,201,0
PRIORITY,1,Tequila shot,20,1778882429410,1778882429535,1778882429555,125,125,145,0
PRIORITY,1,Beer,25,1778882429558,1778882429558,1778882429584,0,0,26,0
PRIORITY,1,Cosmopolitan,65,1778882429684,1778882429684,1778882429749,0,0,65,0
PRIORITY,1,Draft Beer,50,1778882429800,1778882429800,1778882429850,0,0,50,0
PRIORITY,2,White Wine,25,1778882429838,1778882429851,1778882429877,13,13,39,0
PRIORITY,3,Pina Colada,100,1778882429901,1778882429901,1778882430001,0,0,100,0
PRIORITY,1,B52,200,1778882429950,1778882430003,1778882430203,53,53,253,0
PRIORITY,2,Beer,25,1778882430027,1778882430205,1778882430230,178,178,203,0
PRIORITY,1,Cosmopolitan,65,1778882430214,1778882430232,1778882430297,18,18,83,0
PRIORITY,3,Draft Beer,50,1778882430122,1778882430299,1778882430349,177,177,227,0
PRIORITY,1,White Wine,25,1778882430347,1778882430350,1778882430376,3,3,29,0
PRIORITY,4,Gin and Tonic,40,1778882429978,1778882430377,1778882430417,399,399,439,0
PRIORITY,5,White Wine,25,1778882430101,1778882430419,1778882430444,318,318,343,0
PRIORITY,3,White Wine,25,1778882430449,1778882430449,1778882430474,0,0,25,0
PRIORITY,6,Cosmopolitan,65,1778882430513,1778882430513,1778882430578,0,0,65,0
PRIORITY,4,Gin and Tonic,40,1778882430528,1778882430580,1778882430620,52,52,92,0
PRIORITY,5,Beer,25,1778882430594,1778882430622,1778882430647,28,28,53,0
PRIORITY,3,Mojito,75,1778882430625,1778882430649,1778882430724,24,24,99,0
PRIORITY,6,Gin and Tonic,40,1778882430629,1778882430726,1778882430766,97,97,137,0
PRIORITY,4,White Wine,25,1778882430731,1778882430767,1778882430792,36,36,61,0
PRIORITY,5,Martini,60,1778882430747,1778882430794,1778882430854,47,47,107,0
PRIORITY,3,Martini,60,1778882430834,1778882430856,1778882430916,22,22,82,0
PRIORITY,6,Pina Colada,100,1778882430876,1778882430918,1778882431018,42,42,142,0
PRIORITY,5,Draft Beer,50,1778882430965,1778882431019,1778882431070,54,54,105,0
PRIORITY,3,Vodka shot,20,1778882431026,1778882431071,1778882431091,45,45,65,0
PRIORITY,7,Red Wine,25,1778882431088,1778882431093,1778882431118,5,5,30,0
PRIORITY,3,Vodka shot,20,1778882431095,1778882431120,1778882431140,25,25,45,0
PRIORITY,6,Beer,25,1778882431138,1778882431141,1778882431166,3,3,28,0
PRIORITY,5,Tequila shot,20,1778882431170,1778882431170,1778882431190,0,0,20,0
PRIORITY,5,Cider,25,1778882431194,1778882431194,1778882431219,0,0,25,0
PRIORITY,5,Mojito,75,1778882431319,1778882431319,1778882431394,0,0,75,0
PRIORITY,8,Tequila shot,20,1778882431590,1778882431590,1778882431610,0,0,20,0
PRIORITY,8,Pina Colada,100,1778882431614,1778882431614,1778882431714,0,0,100,0
PRIORITY,9,Cosmopolitan,65,1778882431619,1778882431716,1778882431781,97,97,162,0
PRIORITY,9,White Wine,25,1778882431831,1778882431831,1778882431856,0,0,25,0
PRIORITY,8,Vodka shot,20,1778882431834,1778882431858,1778882431878,24,24,44,0
