scheduler, patronID, drinkName, execTime,arrivalTime, serviceStartTime, completionTime,waitingTime, responseTime, turnaroundTime, queueLevel
SJF,0,White Wine,25,1778882403845,1778882403846,1778882403871,1,1,26,0
SJF,0,Cider,25,1778882404022,1778882404022,1778882404047,0,0,25,0
SJF,1,Cider,25,1778882404067,1778882404067,1778882404092,0,0,25,0
SJF,0,B52,200,1778882404148,1778882404148,1778882404348,0,0,200,0
SJF,1,Tequila shot,20,1778882404193,1778882404350,1778882404370,157,157,177,0
SJF,0,White Wine,25,1778882404358,1778882404372,1778882404397,14,14,39,0
SJF,1,Martini,60,1778882404373,1778882404399,1778882404459,26,26,86,0
SJF,2,Bloody Mary,70,1778882404266,1778882404461,1778882404531,195,195,265,0
SJF,0,Red Wine,25,1778882404547,1778882404548,1778882404573,1,1,26,0
SJF,1,Martini,60,1778882404569,1778882404575,1778882404635,6,6,66,0
SJF,2,Beer,25,1778882404682,1778882404682,1778882404707,0,0,25,0
SJF,0,Beer,25,1778882404723,1778882404723,1778882404748,0,0,25,0
SJF,1,Gin and Tonic,40,1778882404745,1778882404750,1778882404790,5,5,45,0
SJF,2,Mojito,75,1778882404807,1778882404807,1778882404883,0,0,76,0
SJF,1,Margarita,75,1778882404901,1778882404901,1778882404976,0,0,75,0
SJF,2,Beer,25,1778882404993,1778882404993,1778882405018,0,0,25,0
SJF,1,Gin and Tonic,40,1778882405056,1778882405057,1778882405097,1,1,41,0
SJF,3,Tequila shot,20,1778882405206,1778882405206,1778882405226,0,0,20,0
SJF,1,Pina Colada,100,1778882405207,1778882405228,1778882405328,21,21,121,0
SJF,3,B52,200,1778882405230,1778882405330,1778882405530,100,100,300,0
SJF,3,White Wine,25,1778882405540,1778882405541,1778882405566,1,1,26,0
SJF,3,Pina Colada,100,1778882405716,1778882405716,1778882405816,0,0,100,0
SJF,4,Margarita,75,1778882405913,1778882405913,1778882405989,0,0,76,0
SJF,3,Cider,25,1778882405936,1778882405990,1778882406016,54,54,80,0
SJF,4,Martini,60,1778882406069,1778882406069,1778882406129,0,0,60,0
SJF,3,Gin and Tonic,40,1778882406116,1778882406131,1778882406171,15,15,55,0
SJF,3,Bloody Mary,70,1778882406281,1778882406281,1778882406351,0,0,70,0
SJF,5,Pina Colada,100,1778882406519,1778882406519,1778882406620,0,0,101,0
SJF,6,Draft Beer,50,1778882406695,1778882406695,1778882406746,0,0,51,0
SJF,5,Gin and Tonic,40,1778882406740,1778882406747,1778882406787,7,7,47,0
SJF,6,Bloody Mary,70,1778882406846,1778882406846,1778882406916,0,0,70,0
SJF,7,Gin and Tonic,40,1778882406871,1778882406918,1778882406958,47,47,87,0
SJF,6,White Wine,25,1778882407067,1778882407067,1778882407092,0,0,25,0
SJF,7,White Wine,25,1778882407068,1778882407094,1778882407119,26,26,51,0
SJF,8,Beer,25,1778882407205,1778882407205,1778882407231,0,0,26,0
SJF,6,Beer,25,1778882407242,1778882407242,1778882407267,0,0,25,0
SJF,7,Mojito,75,1778882407269,1778882407275,1778882407350,6,6,81,0
SJF,8,Pina Colada,100,1778882407331,1778882407351,1778882407452,20,20,121,0
